Artist Name,Date,Day,Time,City,State,Venue,Tour / Event Name,Presale Info,Event URL
Chicago,FEB 28,,,,,,Chicago,,https://www.ticketmaster.com/chicago-las-vegas-nevada-02-28-2026/event/17006341FC4874BE
Chicago,MAR 03,,,,,,Chicago,,https://www.ticketmaster.com/chicago-albuquerque-new-mexico-03-03-2026/event/1E00635191321E72
Chicago,MAR 04,,,,,,Chicago,,https://www.ticketmaster.com/chicago-el-paso-texas-03-04-2026/event/0C00634E94A929C0
Chicago,MAR 06,,,,,,Chicago,,https://www.ticketmaster.com/event/Z7r9jZ1A7Obfg
Chicago,MAR 07,,,,,,Chicago,,https://www.ticketmaster.com/event/Z7r9jZ1A7q0pA
Chicago,MAR 09,,,,,,Chicago,,https://www.ticketmaster.com/event/Z7r9jZ1A7OfPJ
Chicago,MAR 12,,,,,,Chicago (21+),,https://www.ticketmaster.com/event/Z7r9jZ1A7qMjV
Chicago,MAR 13,,,,,,Chicago (Under 18 with a parent or legal guardian),,https://www.ticketmaster.com/event/Z7r9jZ1A7OFeZ
Chicago,MAR 14,,,,,,Chicago,,https://www.ticketmaster.com/chicago-north-little-rock-arkansas-03-14-2026/event/1B006349A40B674E
Chicago,MAY 01,,,,,,Chicago,,https://www.ticketmaster.com/chicago-brandon-mississippi-05-01-2026/event/1B00635C909D4F3C
Chicago,MAY 02,,,Lake Charles,LAGolden Nugget,Lake Charles,Chicago (21+ Event),,https://www.ticketmaster.com/event/Z7r9jZ1A7qybf
Chicago,MAY 05,,,,,,Chicago,,https://www.ticketmaster.com/chicago-shreveport-louisiana-05-05-2026/event/1B006367A5F2B05A
Chicago,MAY 06,,,,,,Chicago,,https://www.ticketmaster.com/chicago-tupelo-mississippi-05-06-2026/event/1B00635DB3D57CEE
Chicago,MAY 08,,,,,,Chicago,,https://www.ticketmaster.com/chicago-biloxi-mississippi-05-08-2026/event/1B006365CDB9B977
Chicago,MAY 09,,,,,,Chicago,,https://www.ticketmaster.com/chicago-biloxi-mississippi-05-09-2026/event/1B006365CDBBB97A
